Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Bartsch, Dirk-Uwe Guenther",ENG 100L - Team Engineering Lab (04),FA10,13,5,100.0%,80.0%,6.1,A (4.00),
"Cole, Michael",ENG 100L - Team Engineering Lab (05),FA10,10,3,100.0%,100.0%,4.5,B+ (3.33),
"Voelker, Geoffrey M.",ENG 100L - Team Engineering Lab (07),FA10,12,4,100.0%,100.0%,2.5,A (4.00),
"Bratton, Maryann",ENG 100L - Team Engineering Lab (08),FA10,9,5,60.0%,100.0%,1.7,A- (3.80),
"Bratton, Maryann",ENG 100L - Team Engineering Lab (10),FA10,18,7,100.0%,100.0%,5.64,A (4.00),
"Kastner, Ryan Charles",ENG 100L - Team Engineering Lab (11),FA10,9,9,88.9%,100.0%,9.17,B+ (3.67),
"Tu, Charles",ENG 100A - Team Engineering (A),SP10,46,23,60.9%,39.1%,5.02,B+ (3.45),A- (3.74)
"Williams, Ebonee P.",ENG 100B - Engineering Leadership (A),SP10,5,3,66.7%,66.7%,2.5,A (4.00),
"Kleissl, Jan",ENG 100L - Team Engineering Laboratory (B),SP10,10,4,100.0%,50.0%,6.0,A- (3.75),
"Tu, Charles",ENG 100L - Team Engineering Laboratory (C),SP10,16,4,100.0%,66.7%,3.83,A (4.00),
"Belongie, Serge J.",ENG 100L - Team Engineering Laboratory (D),SP10,11,4,100.0%,100.0%,4.5,A (4.00),
"Bartsch, Dirk-Uwe Guenther",ENG 100L - Team Engineering Laboratory (E),SP10,10,3,100.0%,100.0%,7.17,A (4.00),
"Cole, Michael",ENG 100L - Team Engineering Laboratory (F),SP10,15,4,100.0%,100.0%,4.0,A (4.00),
"Guest, Clark C",ENG 100L - Team Engineering Laboratory (G),SP10,8,5,100.0%,100.0%,3.7,A (4.00),
"Voelker, Geoffrey M.",ENG 100L - Team Engineering Laboratory (H),SP10,17,6,100.0%,100.0%,6.5,A- (3.83),
"Bratton, Maryann",ENG 100L - Team Engineering Laboratory (I),SP10,3,3,100.0%,100.0%,3.17,A (4.00),
"Bratton, Maryann",ENG 100L - Team Engineering Laboratory (J),SP10,10,3,100.0%,100.0%,4.5,A (4.00),
"Sukumar, Srinivas",ENG 100A - Team Engineering (A),WI10,38,9,100.0%,88.9%,1.83,A- (3.78),A- (3.92)
"Williams, Ebonee P.",ENG 100B - Engineering Leadership (A),WI10,8,3,100.0%,100.0%,2.5,A (4.00),
"Kleissl, Jan",ENG 100L - Team Engineering Laboratory (B),WI10,12,4,100.0%,100.0%,2.5,A (4.00),
"Belongie, Serge J.",ENG 100L - Team Engineering Laboratory (D),WI10,8,3,100.0%,100.0%,3.83,A (4.00),
"Guest, Clark C",ENG 100L - Team Engineering Laboratory (G),WI10,12,4,100.0%,100.0%,4.5,A (4.00),
"Bratton, Maryann",ENG 100 - Principles of Team Engineering (A),FA09,40,34,84.8%,84.4%,3.5,B+ (3.66),B+ (3.58)
